cohort,source_team,model_code,fold,alpha,train_rows,validation_rows,validation_start,validation_end,residual_window_observations,tuning_pipeline,MAE,RMSE
Primary complete-case cohort,TeamB,P1,1,100.0,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.651491111716121,1.02284309826543
Primary complete-case cohort,TeamB,P1,1,1000.0,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6079714708132294,0.9896676000576137
Primary complete-case cohort,TeamB,P1,1,10000.0,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6160916864252775,0.9992194536534699
Primary complete-case cohort,TeamB,P1,1,100000.0,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6252424365140762,1.012277981664167
Primary complete-case cohort,TeamB,P1,2,0.0,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.6334468434713993,1.0007137466938683
Primary complete-case cohort,TeamB,P1,2,0.0001,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.6334468254240646,1.0007137303530471
Primary complete-case cohort,TeamB,P1,2,0.001,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.6334466629981993,1.0007135832859868
Primary complete-case cohort,TeamB,P1,2,0.01,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.6334450387542283,1.0007121126482224
Primary complete-case cohort,TeamB,P1,2,0.1,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.6334287977825288,1.0006974095536465
Primary complete-case cohort,TeamB,P1,2,1.0,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.633266534721186,1.0005507062744572
Primary complete-case cohort,TeamB,P1,2,10.0,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.6316607948222688,0.9991158131776989
Primary complete-case cohort,TeamB,P1,2,100.0,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.6180870369810209,0.9874635093106254
Primary complete-case cohort,TeamB,P1,2,1000.0,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5707422793339236,0.9638031725160339
Primary complete-case cohort,TeamB,P1,2,10000.0,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5849697658502969,1.0201789889160566
Primary complete-case cohort,TeamB,P1,2,100000.0,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.599382045547281,1.0561599838849762
Primary complete-case cohort,TeamB,P1,3,0.0,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.6065252604773635,0.8960962106300806
Primary complete-case cohort,TeamB,P1,3,0.0001,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.6065252426967995,0.8960961939671456
Primary complete-case cohort,TeamB,P1,3,0.001,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.6065250826718702,0.8960960440009308
Primary complete-case cohort,TeamB,P1,3,0.01,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.6065234824369359,0.8960945443584858
Primary complete-case cohort,TeamB,P1,3,0.1,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.6065074815232941,0.8960795499041663
Primary complete-case cohort,TeamB,P1,3,1.0,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.6063476157881912,0.8959298020893084
Primary complete-case cohort,TeamB,P1,3,10.0,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.6047703617671164,0.8944517166338137
Primary complete-case cohort,TeamB,P1,3,100.0,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.5912035848747019,0.8813684113892393
Primary complete-case cohort,TeamB,P1,3,1000.0,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.5290600876434992,0.8230435189614215
Primary complete-case cohort,TeamB,P1,3,10000.0,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.496966431361005,0.7797837301998404
Primary complete-case cohort,TeamB,P1,3,100000.0,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.49692852607863097,0.7832157761240495
